_id,consulta,respuesta.nombre,respuesta.posicion,respuesta.altura_metros,respuesta.peso_libras,respuesta.equipo_id,respuesta.estadisticas,respuesta.nombre_equipo,respuesta.abreviacion_equipo,respuesta.ciudad_equipo,respuesta.conferencia_equipo,respuesta.division_equipo,respuesta.partidos_jugados,respuesta.minutos_jugados_promedio_por_partido,respuesta.canasta_encestada_promedio_por_partido,respuesta.tiro_3puntos_encestados_promedio_por_partido,respuesta.tiros_libres_encestados_promedio_por_partido,respuesta.rebotes_ofensivos_promedio_por_partido,respuesta.rebotes_defensivos_promedio_por_partido,respuesta.asistencias_promedio_por_partido,respuesta.recuperacion_balon_promedio_por_partido,respuesta.tiros_taponados_promedio_por_partido,respuesta.perdida_balon_promedio_por_partido,respuesta.faltas_personales_promedio_por_partido,respuesta.puntos_anotados_promedio_por_partido,respuesta.porcentaje_tiros_encestados
64e618409d80c6f3e1d0b150,michael jordan,Michael Jordan,,No se dispone de esta información,,5,No se dispone de las estadisticas de este jugador en la temporada actual,Chicago Bulls,CHI,Chicago,East,Central,,,,,,,,,,,,,,
64e618429d80c6f3e1d0b151,lebron james,LeBron James,Alero,2.03,250,14,,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,56,35:42,11.09,2.21,4.54,1.18,7.16,6.8,0.91,0.61,3.27,1.66,28.93,0.501
64e618449d80c6f3e1d0b152,kareem abdul-jabbar,Kareem Abdul-Jabbar,,No se dispone de esta información,,14,No se dispone de las estadisticas de este jugador en la temporada actual,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,,,,,,,,,,,,,,
64e618459d80c6f3e1d0b153,magic johnson,Magic Johnson,,No se dispone de esta información,,14,No se dispone de las estadisticas de este jugador en la temporada actual,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,,,,,,,,,,,,,,
64e618469d80c6f3e1d0b154,larry bird,Larry Bird,,No se dispone de esta información,,2,No se dispone de las estadisticas de este jugador en la temporada actual,Boston Celtics,BOS,Boston,East,Atlantic,,,,,,,,,,,,,,
64e618479d80c6f3e1d0b155,shaquille o'neal,Shaquille O'Neal,,No se dispone de esta información,,22,No se dispone de las estadisticas de este jugador en la temporada actual,Orlando Magic,ORL,Orlando,East,Southeast,,,,,,,,,,,,,,
64e618499d80c6f3e1d0b156,tim duncan,Tim Duncan,Alero,No se dispone de esta información,,27,No se dispone de las estadisticas de este jugador en la temporada actual,San Antonio Spurs,SAS,San Antonio,West,Southwest,,,,,,,,,,,,,,
64e6184a9d80c6f3e1d0b157,kobe bryant,Kobe Bryant,,No se dispone de esta información,,14,No se dispone de las estadisticas de este jugador en la temporada actual,Los Angeles Lakers,LAL,Los Angeles,West,Pacific,,,,,,,,,,,,,,
64e6184b9d80c6f3e1d0b158,wilt chamberlain,Wilt Chamberlain,,No se dispone de esta información,,10,No se dispone de las estadisticas de este jugador en la temporada actual,Golden State Warriors,GSW,Golden State,West,Pacific,,,,,,,,,,,,,,
64e6184d9d80c6f3e1d0b159,bill russell,Bill Russell,,No se dispone de esta información,,2,No se dispone de las estadisticas de este jugador en la temporada actual,Boston Celtics,BOS,Boston,East,Atlantic,,,,,,,,,,,,,,
